Year,Draft Round,Pick,Team,Name,Position,Age,GP,Pass Comps,Pass Atts,Pass Yards,Pass TDs,Ints,Rush Atts,Rush Yards,Rush TDs
2024,1,1,CHI,Caleb Williams,QB,22,9,178,294,1785,9,5,40,236,0
2024,1,2,WAS,Jayden Daniels,QB,23,10,180,262,2147,9,2,85,464,4
2024,1,3,NWE,Drake Maye,QB,22,6,97,150,954,7,5,25,233,1
2024,1,8,ATL,Michael Penix,QB,24,1,1,1,14,0,0,0,0,0
2024,1,10,MIN,J.J. McCarthy,QB,21,,,,,,,,,
2024,1,12,DEN,Bo Nix,QB,24,10,206,324,1968,10,6,61,290,4
2023,1,1,CAR,Bryce Young,QB,22,23,407,680,3697,15,16,54,324,1
2023,1,2,HOU,C.J. Stroud,QB,21,25,526,828,6479,35,11,71,315,3
2023,1,4,IND,Anthony Richardson,QB,21,10,109,217,1535,7,8,66,378,5
2022,1,20,PIT,Kenny Pickett,QB,24,27,447,716,4479,13,13,98,292,4
2021,1,1,JAX,Trevor Lawrence,QB,21,59,1284,2024,13774,69,45,230,1077,14
2021,1,2,NYJ,Zach Wilson,QB,22,34,566,993,6293,23,25,93,498,5
2021,1,3,SFO,Trey Lance,QB,21,9,60,108,818,5,4,57,252,1
2021,1,11,CHI,Justin Fields,QB,22,46,684,1118,7780,45,31,411,2451,19
2021,1,15,NWE,Mac Jones,QB,23,45,884,1339,9057,46,38,122,335,2
2020,1,1,CIN,Joe Burrow,QB,23,62,1534,2253,16755,121,41,212,728,11
2020,1,5,MIA,Tua Tagovailoa,QB,22,58,1209,1794,13794,87,41,145,424,6
2020,1,6,LAC,Justin Herbert,QB,22,71,1772,2663,19112,125,43,260,1028,12
2020,1,26,GNB,Jordan Love,QB,21,34,569,902,6585,50,24,76,301,4
2019,1,1,ARI,Kyler Murray,QB,22,75,1683,2515,17705,106,49,471,2819,30
2019,1,6,NYG,Daniel Jones,QB,22,70,1437,2241,14582,70,47,399,2179,15
2019,1,15,WAS,Dwayne Haskins,QB,22,16,267,444,2804,12,14,40,147,1
2018,1,1,CLE,Baker Mayfield,QB,23,99,1993,3169,22837,154,83,287,1015,9
2018,1,3,NYJ,Sam Darnold,QB,21,75,1261,2072,14205,80,66,247,908,13
2018,1,7,BUF,Josh Allen,QB,22,104,2179,3444,24984,184,82,712,3872,57
2018,1,10,ARI,Josh Rosen,QB,21,24,277,513,2864,12,21,26,151,0
2018,1,32,BAL,Lamar Jackson,QB,21,96,1561,2400,18556,149,47,966,5796,31
2017,1,2,CHI,Mitchell Trubisky,QB,23,75,1202,1875,12541,72,48,245,1166,13
2017,1,10,KAN,Patrick Mahomes,QB,21,105,2602,3901,30632,231,72,413,2103,13
2017,1,12,HOU,Deshaun Watson,QB,21,73,1527,2305,17904,123,48,400,2142,20
2016,1,1,LAR,Jared Goff,QB,21,126,2830,4348,32509,201,91,259,513,12
2016,1,2,PHI,Carson Wentz,QB,23,96,2073,3308,22292,153,67,354,1418,11
2016,1,26,DEN,Paxton Lynch,QB,22,5,79,128,792,4,4,16,55,0
2015,1,1,TAM,Jameis Winston,QB,21,100,1822,2981,22756,146,102,310,1245,11
2015,1,2,TEN,Marcus Mariota,QB,21,92,1346,2144,16023,95,55,370,2100,17
2014,1,3,JAX,Blake Bortles,QB,22,78,1562,2634,17649,103,75,283,1766,8
2014,1,22,CLE,Johnny Manziel,QB,21,14,147,258,1675,7,7,46,259,1
2014,1,32,MIN,Teddy Bridgewater,QB,21,79,1372,2067,15120,75,47,221,844,11
2013,1,16,BUF,EJ Manuel,QB,23,30,343,590,3767,20,16,96,339,4
2012,1,1,IND,Andrew Luck,QB,22,86,2000,3290,23671,171,83,332,1590,14
2012,1,2,WAS,Robert Griffin III,QB,22,56,799,1268,9271,43,30,307,1809,10
2012,1,8,MIA,Ryan Tannehill,QB,24,155,3063,4764,34881,216,115,440,2103,27
2012,1,22,CLE,Brandon Weeden,QB,28,35,559,965,6462,31,30,62,200,1
2011,1,1,CAR,Cam Newton,QB,22,148,2682,4474,32382,194,123,1118,5628,75
2011,1,8,TEN,Jake Locker,QB,23,30,408,709,4967,27,22,95,644,5
2011,1,10,JAX,Blaine Gabbert,QB,21,69,882,1568,9487,51,50,201,685,3
2011,1,12,MIN,Christian Ponder,QB,23,38,632,1057,6658,38,36,126,639,7
2010,1,1,STL,Sam Bradford,QB,22,83,1855,2967,19449,103,61,146,340,2
2010,1,25,DEN,Tim Tebow,QB,23,35,173,361,2422,17,9,197,989,12
2009,1,1,DET,Matthew Stafford,QB,21,215,5048,7971,58309,366,187,419,1308,15
2009,1,5,NYJ,Mark Sanchez,QB,22,79,1314,2320,15357,86,89,170,457,13
2009,1,17,TAM,Josh Freeman,QB,21,62,1179,2048,13873,81,68,205,946,4
